,Dmix,Lmix,X,velocity
0,0.004,0.01,0.0019069700666666,6.787268
1,0.004,0.01,0.006173047,9.092133666666667
2,0.004,0.01,0.010458479,12.483796666666668
3,0.004,0.01,0.0139329766666666,17.61742333333333
4,0.004,0.01,0.01533821,20.80035333333333
5,0.004,0.01,0.01662916,27.057696666666672
6,0.004,0.01,0.0179183233333333,46.70969
7,0.004,0.01,0.01948049,51.88211
8,0.004,0.01,0.02128774,44.70916000000001
9,0.004,0.01,0.0230949966666666,38.95557333333333
10,0.004,0.01,0.02486126,35.41916666666667
11,0.004,0.01,0.02658919,38.22139000000001
12,0.004,0.01,0.02852601,42.295713333333325
13,0.004,0.01,0.0313615333333333,36.21886333333334
14,0.004,0.01,0.0342782533333333,31.80519333333333
15,0.004,0.01,0.03727667,28.855843333333333
16,0.004,0.01,0.0402844166666666,27.493196666666663
17,0.004,0.01,0.04329211,26.528693333333333
18,0.004,0.01,0.0462996333333333,24.55721
19,0.004,0.01,0.0493070966666666,22.21577
20,0.004,0.01,0.0523145499999999,19.982596666666662
21,0.004,0.01,0.055322,17.968853333333332
22,0.004,0.01,0.05832937,16.188119999999998
23,0.004,0.01,0.06133672,14.621539999999998
24,0.004,0.01,0.0643441199999999,13.242743333333332
25,0.004,0.01,0.0673515466666666,12.02839
26,0.004,0.01,0.0703589733333333,10.959560000000002
27,0.004,0.01,0.0733664,10.020919666666668
28,0.004,0.01,0.0763738266666666,9.200948666666669
29,0.004,0.01,0.0793812833333333,8.491742333333333
30,0.004,0.01,0.0823887433333333,7.891913666666666
31,0.004,0.01,0.0853961999999999,7.408715666666668
32,0.004,0.01,0.08840366,7.011984000000001
33,0.004,0.01,0.0914111233333333,6.630208
34,0.004,0.01,0.0944185866666666,6.237827666666667
35,0.004,0.01,0.0974260199999999,5.846831666666666
36,0.004,0.01,0.1004333,5.467688333333332
37,0.004,0.01,0.1034411666666666,5.0697106666666665
38,0.004,0.01,0.1067815999999999,5.051222
39,0.004,0.01,0.1103960333333333,5.201514999999999
40,0.0045,0.01,0.0018787745,4.955302666666667
41,0.0045,0.01,0.0061257016666666,6.856238666666667
42,0.0045,0.01,0.010329655,9.356173
43,0.0045,0.01,0.0138250266666666,12.887299999999998
44,0.0045,0.01,0.01538327,14.738609999999998
45,0.0045,0.01,0.0167898566666666,18.591286666666672
46,0.0045,0.01,0.01825039,27.69499666666667
47,0.0045,0.01,0.0200900166666666,26.07411333333333
48,0.0045,0.01,0.02196247,22.897213333333337
49,0.0045,0.01,0.0238413099999999,29.69484666666666
50,0.0045,0.01,0.0257131599999999,22.26966333333333
51,0.0045,0.01,0.0275283166666666,22.85836666666667
