,Dmix,Lmix,X,pressure
0,0.003,0.01,0.0021687742666666,3297570.6666666665
1,0.003,0.01,0.0070496736666666,3295596.6666666665
2,0.003,0.01,0.0119073323333333,3289036.333333333
3,0.003,0.01,0.0143383433333333,3282635.0
4,0.003,0.01,0.0152819466666666,3285014.0
5,0.003,0.01,0.0161423266666666,3278057.6666666665
6,0.003,0.01,0.01701955,3241943.6666666665
7,0.003,0.01,0.01789101,3108126.0
8,0.003,0.01,0.01897513,2690250.333333333
9,0.003,0.01,0.02030543,2542666.0
10,0.003,0.01,0.02165702,2648748.333333333
11,0.003,0.01,0.0229649699999999,2588828.0
12,0.003,0.01,0.0243148999999999,2672042.0
13,0.003,0.01,0.02562837,2743975.333333333
14,0.003,0.01,0.0269727433333333,2732145.333333333
15,0.003,0.01,0.028487,2383756.333333333
16,0.003,0.01,0.0312381766666666,2941117.6666666665
17,0.003,0.01,0.0342485133333333,3340788.6666666665
18,0.003,0.01,0.03725869,3500350.6666666665
19,0.003,0.01,0.0402685533333333,3590166.333333333
20,0.003,0.01,0.0432782866666666,3647085.0
21,0.003,0.01,0.0462879366666666,3685471.6666666665
22,0.003,0.01,0.04929752,3712429.6666666665
23,0.003,0.01,0.0523070533333333,3731930.6666666665
24,0.003,0.01,0.0553165266666666,3746378.0
25,0.003,0.01,0.0583259999999999,3757291.3333333335
26,0.003,0.01,0.0613354566666666,3765670.3333333335
27,0.003,0.01,0.06434487,3772194.6666666665
28,0.003,0.01,0.0673543166666666,3777338.3333333335
29,0.003,0.01,0.0703282133333333,3781396.0
30,0.003,0.01,0.0732727766666666,3784622.0
31,0.003,0.01,0.0762822266666666,3787284.6666666665
32,0.003,0.01,0.07929173,3789455.6666666665
33,0.003,0.01,0.0822889866666666,3791385.3333333335
34,0.003,0.01,0.0852121733333333,3793041.0
35,0.003,0.01,0.0882225266666666,3794401.0
36,0.003,0.01,0.0912324033333333,3795501.6666666665
37,0.003,0.01,0.0942420866666666,3796422.3333333335
38,0.003,0.01,0.0972516,3797206.0
39,0.003,0.01,0.1002610599999999,3797875.3333333335
40,0.003,0.01,0.1032705333333333,3798449.6666666665
41,0.003,0.01,0.10628,3798946.3333333335
42,0.003,0.01,0.1092892999999999,3799377.6666666665
43,0.003,0.01,0.1122230999999999,3799752.0
44,0.003,0.01,0.1154088666666666,3799991.6666666665
45,0.003,0.01,0.1189015666666666,3800000.0
46,0.003,0.01,0.1225072333333333,3800000.0
47,0.0035,0.01,0.0020983380666666,3295672.0
48,0.0035,0.01,0.0068331916666666,3292890.333333333
49,0.0035,0.01,0.0115785363333333,3283002.0
50,0.0035,0.01,0.0143275366666666,3269650.333333333
51,0.0035,0.01,0.0153940733333333,3268713.0
52,0.0035,0.01,0.01639591,3240155.0
53,0.0035,0.01,0.01740195,3134200.333333333
54,0.0035,0.01,0.0185621533333333,2831928.333333333
55,0.0035,0.01,0.0200866533333333,2706651.333333333
56,0.0035,0.01,0.0216638,2702757.333333333
57,0.0035,0.01,0.0231921166666666,2709030.333333333
58,0.0035,0.01,0.0247711933333333,2723513.6666666665
59,0.0035,0.01,0.0263008433333333,2750395.6666666665
60,0.0035,0.01,0.0278702466666666,2782993.6666666665
61,0.0035,0.01,0.0302382099999999,3086467.6666666665
62,0.0035,0.01,0.0332477266666666,3353348.333333333
63,0.0035,0.01,0.0361678933333333,3491187.333333333
64,0.0035,0.01,0.0391673899999999,3578344.6666666665
65,0.0035,0.01,0.0421773766666666,3636015.0
66,0.0035,0.01,0.0451871066666666,3675407.6666666665
67,0.0035,0.01,0.04819665,3703449.3333333335
68,0.0035,0.01,0.0512060766666666,3724048.0
69,0.0035,0.01,0.0542154133333333,3739535.0
70,0.0035,0.01,0.0572246833333333,3751387.6666666665
71,0.0035,0.01,0.0602338766666666,3760603.0
72,0.0035,0.01,0.0632430433333333,3767866.0
73,0.0035,0.01,0.0662275666666666,3773623.6666666665
74,0.0035,0.01,0.0691610133333333,3778173.0
75,0.0035,0.01,0.0721701766666666,3781984.0
76,0.0035,0.01,0.07517931,3785117.6666666665
77,0.0035,0.01,0.0781885133333333,3787699.3333333335
78,0.0035,0.01,0.0811978766666666,3789895.6666666665
79,0.0035,0.01,0.0842077599999999,3791865.3333333335
80,0.0035,0.01,0.0872179933333333,3793553.3333333335
81,0.0035,0.01,0.0902278833333333,3794935.6666666665
82,0.0035,0.01,0.0932374233333333,3796075.3333333335
83,0.0035,0.01,0.0962467433333333,3797037.3333333335
84,0.0035,0.01,0.0992559466666666,3797858.3333333335
85,0.0035,0.01,0.1022650333333333,3798565.3333333335
86,0.0035,0.01,0.1052740666666666,3799181.0
87,0.0035,0.01,0.1082868333333333,3799711.3333333335
88,0.0035,0.01,0.1116649999999999,3799950.6666666665
89,0.0035,0.01,0.1152694666666666,3799979.0
90,0.004,0.01,0.001883825,3297084.333333333
91,0.004,0.01,0.0061305486666666,3295839.0
92,0.004,0.01,0.010279999,3292054.6666666665
93,0.004,0.01,0.0138044566666666,3282437.0
94,0.004,0.01,0.01513318,3282407.0
95,0.004,0.01,0.0162333733333333,3272768.0
96,0.004,0.01,0.0173817866666666,3230825.6666666665
97,0.004,0.01,0.0187130633333333,3164014.333333333
98,0.004,0.01,0.0204667966666666,3161908.333333333
99,0.004,0.01,0.0222388,3175133.6666666665
100,0.004,0.01,0.02404611,3192130.6666666665
101,0.004,0.01,0.0258046366666666,3222680.333333333
102,0.004,0.01,0.0275699866666666,3270071.0
103,0.004,0.01,0.02998475,3372337.6666666665
104,0.004,0.01,0.0329319799999999,3494701.0
105,0.004,0.01,0.0358482199999999,3582973.6666666665
106,0.004,0.01,0.0387504966666666,3645016.6666666665
107,0.004,0.01,0.04164382,3687769.3333333335
108,0.004,0.01,0.0445941333333333,3715971.3333333335
109,0.004,0.01,0.0475312599999999,3734033.6666666665
110,0.004,0.01,0.0505376466666666,3747492.6666666665
111,0.004,0.01,0.0535437999999999,3757735.0
112,0.004,0.01,0.0565498,3765720.6666666665
113,0.004,0.01,0.0595557566666666,3772048.0
114,0.004,0.01,0.0625616166666666,3777118.0
115,0.004,0.01,0.0655486966666666,3781202.3333333335
116,0.004,0.01,0.0684728933333333,3784454.0
117,0.004,0.01,0.07147855,3787205.3333333335
118,0.004,0.01,0.0744841866666666,3789489.3333333335
119,0.004,0.01,0.07748984,3791396.3333333335
120,0.004,0.01,0.0804955133333333,3793008.0
121,0.004,0.01,0.08350119,3794391.3333333335
122,0.004,0.01,0.0865070566666666,3795581.3333333335
123,0.004,0.01,0.08951295,3796601.6666666665
124,0.004,0.01,0.0925188433333333,3797470.3333333335
125,0.004,0.01,0.0955245633333333,3798214.0
126,0.004,0.01,0.0985302133333333,3798853.3333333335
127,0.004,0.01,0.1015356666666666,3799408.0
128,0.004,0.01,0.1045001333333333,3799844.3333333335
129,0.004,0.01,0.1078839666666666,3799962.3333333335
130,0.004,0.01,0.1114984,3799985.3333333335
