,Dmix,Lmix,X,velocity
0,0.003,0.01,0.0053515150666666,1.3837316666666668
1,0.003,0.01,0.0130890666666666,2.268467
2,0.003,0.01,0.0183934833333333,7.023029
3,0.003,0.01,0.0232125866666666,55.36202
4,0.003,0.01,0.0253433066666666,102.54899333333331
5,0.003,0.01,0.0264502133333333,154.10523333333336
6,0.003,0.01,0.0272853633333333,172.58886666666663
7,0.003,0.01,0.0281675933333333,121.87936666666666
8,0.003,0.01,0.0289858233333333,173.12840000000003
9,0.003,0.01,0.0298874733333333,137.64883333333333
10,0.003,0.01,0.0310163766666666,179.13336666666663
11,0.003,0.01,0.03231208,165.8161
12,0.003,0.01,0.0336329233333333,164.01236666666665
13,0.003,0.01,0.0349535933333333,162.07249999999996
14,0.003,0.01,0.03630477,154.32333333333335
15,0.003,0.01,0.0376113133333333,149.118
16,0.003,0.01,0.0389626999999999,149.34433333333334
17,0.003,0.01,0.0405663333333333,170.76076666666668
18,0.003,0.01,0.0432464533333333,118.33210000000004
19,0.003,0.01,0.04625366,89.04506666666666
20,0.003,0.01,0.0492609366666666,71.48804666666668
21,0.003,0.01,0.05226818,59.65963000000001
22,0.003,0.01,0.0552753566666666,51.07898
23,0.003,0.01,0.0582825099999999,44.530773333333336
24,0.003,0.01,0.0612896366666666,39.35754666666666
25,0.003,0.01,0.0642967166666666,35.16221
26,0.003,0.01,0.0673037666666666,31.695090000000004
27,0.003,0.01,0.0703108166666666,28.787823333333336
28,0.003,0.01,0.0733178166666666,26.321786666666664
29,0.003,0.01,0.0762316666666666,24.276419999999995
30,0.003,0.01,0.07923155,22.455373333333338
31,0.003,0.01,0.0822385266666666,20.850686666666668
32,0.003,0.01,0.0852455133333333,19.421726666666665
33,0.003,0.01,0.0882525666666666,18.07888
34,0.003,0.01,0.09125979,16.672086666666665
35,0.003,0.01,0.09426703,15.327036666666666
36,0.003,0.01,0.0972742666666666,14.119016666666663
37,0.003,0.01,0.1002815366666666,13.078023333333332
38,0.003,0.01,0.1032887333333333,12.195073333333331
39,0.003,0.01,0.1062958999999999,11.432043333333334
40,0.003,0.01,0.1093029333333333,10.760156666666663
41,0.003,0.01,0.1123099666666666,10.161702333333333
42,0.003,0.01,0.1153169666666666,9.624845333333331
43,0.003,0.01,0.118324,9.141068666666666
44,0.003,0.01,0.121331,8.706564333333334
45,0.003,0.01,0.1243379666666666,8.335446666666666
46,0.003,0.01,0.1276189333333333,8.071073
47,0.003,0.01,0.1312329666666666,7.924891333333333
48,0.0035,0.01,0.0057310980666666,1.3962006666666662
49,0.0035,0.01,0.01373529,2.5241549999999995
50,0.0035,0.01,0.0194932799999999,10.347889333333336
51,0.0035,0.01,0.0240513433333333,75.35261333333332
52,0.0035,0.01,0.0258771466666666,116.37939666666666
53,0.0035,0.01,0.0269111733333333,173.51680000000002
54,0.0035,0.01,0.0279156233333333,135.62273333333334
55,0.0035,0.01,0.0288840533333333,167.64923333333334
56,0.0035,0.01,0.02992136,147.4448
57,0.0035,0.01,0.0312806466666666,171.0515
58,0.0035,0.01,0.0327743266666666,156.04156666666668
59,0.0035,0.01,0.0343207766666666,155.63793333333334
60,0.0035,0.01,0.0358572033333333,151.48896666666667
61,0.0035,0.01,0.0374262199999999,147.58256666666665
62,0.0035,0.01,0.0389819033333333,143.45683333333332
63,0.0035,0.01,0.0408692533333333,130.55006666666668
64,0.0035,0.01,0.04380655,102.97158666666664
65,0.0035,0.01,0.0468140799999999,84.05756333333332
66,0.0035,0.01,0.0498216966666666,70.16612666666667
67,0.0035,0.01,0.0528293166666666,59.57662333333334
68,0.0035,0.01,0.0558368566666666,51.53761333333333
69,0.0035,0.01,0.05884435,45.33142333333334
70,0.0035,0.01,0.0618517833333333,40.396710000000006
71,0.0035,0.01,0.0648591633333333,36.3745
72,0.0035,0.01,0.0678665233333333,33.03501333333333
73,0.0035,0.01,0.0708738766666666,30.22072333333333
74,0.0035,0.01,0.07388121,27.81792
75,0.0035,0.01,0.0768884199999999,25.742463333333333
76,0.0035,0.01,0.0798508766666666,23.95612
77,0.0035,0.01,0.0828026,22.395179999999996
78,0.0035,0.01,0.0858098,20.960480000000004
79,0.0035,0.01,0.0888170566666666,19.63518
80,0.0035,0.01,0.0918245,18.29553666666667
81,0.0035,0.01,0.0948319999999999,16.961766666666666
82,0.0035,0.01,0.0978395033333333,15.736163333333334
83,0.0035,0.01,0.100847,14.658513333333334
84,0.0035,0.01,0.1038545,13.738696666666666
85,0.0035,0.01,0.1068617666666666,12.946953333333331
86,0.0035,0.01,0.1098690666666666,12.251403333333334
87,0.0035,0.01,0.1128763666666666,11.631396666666664
88,0.0035,0.01,0.1158836333333333,11.076036666666663
89,0.0035,0.01,0.1188908666666666,10.591186666666664
90,0.0035,0.01,0.1220538666666666,10.219726666666665
91,0.0035,0.01,0.1256440999999999,9.992908000000002
92,0.0035,0.01,0.1292587666666666,9.842209333333331
93,0.004,0.01,0.0061449413666666,1.410763666666667
94,0.004,0.01,0.0144388833333333,2.859825333333333
95,0.004,0.01,0.0206433266666666,17.872847666666665
96,0.004,0.01,0.0246638833333333,90.18515
97,0.004,0.01,0.02631482,141.10283333333334
98,0.004,0.01,0.0274042933333333,162.73513333333332
99,0.004,0.01,0.0285012199999999,142.4161
100,0.004,0.01,0.0295987,149.6953333333333
101,0.004,0.01,0.0309844266666666,154.83526666666666
102,0.004,0.01,0.0326808633333333,145.84319999999997
103,0.004,0.01,0.0344815333333333,139.02776666666665
104,0.004,0.01,0.0362763699999999,133.33226666666664
