,Dmix,Lmix,X,pressure
0,0.003,0.01,0.0053508260666666,8499285.333333334
1,0.003,0.01,0.0130604933333333,8497928.333333334
2,0.003,0.01,0.01830708,8477904.666666666
3,0.003,0.01,0.02307425,7203249.0
4,0.003,0.01,0.0251975366666666,5191104.333333333
5,0.003,0.01,0.0263404466666666,3628297.0
6,0.003,0.01,0.0270963733333333,1353385.9666666666
7,0.003,0.01,0.0271940033333333,1581527.3333333333
8,0.003,0.01,0.0271967933333333,1593983.3333333333
9,0.0035,0.01,0.0057298194,8499263.666666666
10,0.0035,0.01,0.0136940633333333,8497370.333333334
11,0.0035,0.01,0.01937728,8446058.666666666
12,0.0035,0.01,0.02388216,6463443.0
13,0.0035,0.01,0.0257105733333333,4894579.0
14,0.0035,0.01,0.0268123933333333,1905370.066666667
15,0.0035,0.01,0.0271992799999999,1590628.0
16,0.0035,0.01,0.0272144633333333,1770455.0
17,0.004,0.01,0.0061425793666666,8499235.666666666
18,0.004,0.01,0.01437905,8496512.666666666
19,0.004,0.01,0.0204861833333333,8305612.666666667
20,0.004,0.01,0.0244582233333333,5825839.666666667
21,0.004,0.01,0.02614125,4054517.3333333335
22,0.004,0.01,0.02727046,2786805.8666666667
23,0.004,0.01,0.0284140266666666,3371231.0
24,0.004,0.01,0.0296450799999999,3460813.333333333
25,0.004,0.01,0.03128516,3075596.6666666665
26,0.004,0.01,0.0330924166666666,3145653.0
27,0.004,0.01,0.0348996666666666,3185131.333333333
28,0.004,0.01,0.0367069166666666,3212882.0
29,0.004,0.01,0.0385141666666666,3256782.6666666665
30,0.004,0.01,0.0405854866666666,3333057.0
31,0.004,0.01,0.0435216333333333,3464282.0
32,0.004,0.01,0.0465251066666666,3567266.333333333
33,0.004,0.01,0.0495285766666666,3640080.6666666665
34,0.004,0.01,0.0525320466666666,3684768.6666666665
35,0.004,0.01,0.0555062633333333,3710521.3333333335
36,0.004,0.01,0.0584388566666666,3730251.0
37,0.004,0.01,0.06144229,3744760.0
38,0.004,0.01,0.0644457533333333,3755639.3333333335
39,0.004,0.01,0.0674492266666666,3764067.0
40,0.004,0.01,0.0704526966666666,3770716.3333333335
41,0.004,0.01,0.0734561666666666,3776035.0
42,0.004,0.01,0.0764596433333333,3780328.3333333335
43,0.004,0.01,0.0794631066666666,3783830.0
44,0.004,0.01,0.0824665766666666,3786708.6666666665
45,0.004,0.01,0.0854700499999999,3789101.3333333335
46,0.004,0.01,0.0884735166666666,3791107.6666666665
47,0.004,0.01,0.0913810999999999,3792736.0
48,0.004,0.01,0.09438027,3794144.3333333335
49,0.004,0.01,0.09738372,3795346.3333333335
50,0.004,0.01,0.1003871566666666,3796380.0
51,0.004,0.01,0.1033906,3797272.0
52,0.004,0.01,0.1063940333333333,3798039.0
53,0.004,0.01,0.1093974666666666,3798697.3333333335
54,0.004,0.01,0.1124009,3799249.6666666665
55,0.004,0.01,0.1154186,3799663.0
56,0.004,0.01,0.1188457,3799896.6666666665
57,0.004,0.01,0.1224601333333333,3799971.0
58,0.0045,0.01,0.0065975497666666,8499196.0
59,0.0045,0.01,0.0151741366666666,8494947.0
60,0.0045,0.01,0.0216312833333333,7940079.0
